placette,T_type,F_type,intercept,slope,R2,R2a,R,se,AIC,intercept_se,intercept_p,slope_se,slope_p,equation,a,b,Q10
p01,Tair,ER,-1.95146423023758,0.307992348651823,0.880504583194766,0.872538222074417,0.938352057169784,0.925129129468841,49.4701903379817,0.603179003923711,0.00554792401590018,0.0292957156644398,2.57644997123676e-08,linear,-1.95146423023758,0.307992348651823,NA
p01,Tair,ER,-0.986432701882797,0.107130867363134,0.850163837401439,0.840174759894869,0.92204329475434,0.36671125764439,18.0079995457249,0.239093683322404,0.00089821120932284,0.0116125072627075,1.42767913617902e-07,exponential,0.372904582937303,0.107130867363134,2.91919727782171
p01,Tair,ER,2.29502044130515,-18.4470724125798,0.772014104490221,0.756815044789569,-0.878643331784986,0.452345122211229,25.1436019419907,0.204976178843713,1.10790455255896e-08,2.58835115470858,3.4664338549047e-06,arrhenius,9.92463888278382,153.377667056367,NA
p01,Tair,GPP,-1.71689011414576,0.483225332683371,0.647025537820789,0.623493907008841,0.80437897649105,2.910135692223,88.4349268294306,1.89739215013771,0.379839481532549,0.0921541707731667,9.91312365678964e-05,linear,-1.71689011414576,0.483225332683371,NA
p01,Tair,GPP,-0.44004245497976,0.109165057296445,0.626708094509966,0.601821967477297,0.791648971773453,0.686954378202288,39.3495652265965,0.447890401876103,0.341446746389941,0.0217535255319555,0.000152864226698949,exponential,0.644009079110325,0.109165057296445,2.97918738270907
p01,Tair,GPP,2.98499637892137,-20.0123723901529,0.645048107355538,0.621384647845907,-0.803148869983353,0.669866651548584,38.4931318246053,0.303544129973273,6.22672392462349e-08,3.83302490930122,0.000103505906108416,arrhenius,19.7864305880197,166.392309891499,NA
p01,Tair,NEE,0.234574116091823,0.175232984031548,0.265092874471312,0.216099066102733,0.514871706807931,2.3789519647318,81.5825780501525,1.55106333890183,0.881805982321737,0.0753333757614541,0.0344395842219688,linear,0.234574116091823,0.175232984031548,NA
p01,Tair,NEE,-0.0881406817508638,0.0607815589195274,0.276419383009448,0.220759335548636,0.525756010911381,0.757601704128561,38.0937187094777,0.589357941402348,0.883411981713585,0.0272746618015717,0.044122840364701,exponential,0.915632054941465,0.0607815589195274,1.83641552830108
p01,Tair,NEE,2.03652603913135,-14.7064751663553,0.460697157206692,0.419212323145668,-0.678746754840634,0.654054345381896,33.6846983196376,0.314903621969244,2.10909782771356e-05,4.41311765841958,0.00539995350795291,arrhenius,7.66393867646414,122.276575989356,NA
p01,Tsurf,ER,-1.76116817885839,0.313771282984236,0.884515239344659,0.878099419308251,0.940486703438522,0.848704996876651,54.0885860414011,0.509773610795271,0.00282646331099714,0.0267230866799911,7.15895316542735e-10,linear,-1.76116817885839,0.313771282984236,NA
p01,Tsurf,ER,-0.908465684232289,0.111132872333088,0.905252354483948,0.899988596399723,0.951447504849295,0.26913848736147,8.14916265698832,0.161657700863253,2.47841987982854e-05,0.00847433578587443,1.19332634947109e-10,exponential,0.403142297336011,0.111132872333088,3.0383928970039
p01,Tsurf,ER,1.75140665143629,-8.73410838408335,0.605214417405183,0.583281885038805,-0.777955279823451,0.549379229546351,36.6916785454551,0.18016061384668,1.37718449658521e-08,1.66267870203129,5.38667621631105e-05,arrhenius,5.76270309202047,72.6194996044262,NA
p01,Tsurf,GPP,-2.88733248600526,0.559121871224372,0.78973479550193,0.778053395252037,0.888670240022659,2.15965030726696,91.4481835672658,1.29719129643654,0.0390416382032992,0.0680006864245578,1.65509310416212e-07,linear,-2.88733248600526,0.559121871224372,NA
p01,Tsurf,GPP,-0.640705817684017,0.126218943684675,0.799689990225356,0.788561656348986,0.894253873475176,0.472877797562895,30.6935998160821,0.284033466535118,0.0367685716793954,0.0148894544274176,1.06375942702243e-07,exponential,0.526920383037516,0.126218943684675,3.53314863102993
