placette,date,HR1,HR2,HR3,HR4,HR5
p01,2013-05-15,35.30,82.41,40.84,85.79,47.28
p02,2013-05-15,36.67,27.22,44.89,81.93,33.92
p03,2013-05-15,13.81,28.17,24.58,25.78,25.60
p04,2013-05-15,59.54,54.66,76.70,100.00,100.00
p05,2013-05-15,100.00,100.00,100.00,100.00,100.00
p06,2013-05-15,100.00,100.00,75.19,61.02,98.04
p07,2013-05-15,100.00,100.00,100.00,100.00,100.00
p08,2013-05-15,37.51,100.00,37.74,43.24,42.01
p09,2013-05-15,91.40,50.38,76.24,40.14,100.00
p10,2013-05-15,100.00,65.40,100.00,93.88,76.85
p11,2013-05-14,39.56,16.44,31.73,30.50,37.13
p12,2013-05-14,69.14,100.00,100.00,87.02,95.20
p13,2013-05-14,40.51,30.74,28.84,54.77,36.37
p14,2013-05-14,73.49,92.59,100.00,100.00,100.00
p15,2013-05-14,59.30,48.62,93.68,100.00,44.63
p16,2013-05-14,85.14,75.30,100.00,100.00,100.00
p17,2013-05-14,77.27,96.95,90.00,100.00,56.76
p18,2013-05-14,100.00,100.00,100.00,100.00,100.00
p19,2013-05-14,82.89,100.00,100.00,100.00,96.14
p20,2013-05-14,100.00,100.00,100.00,100.00,100.00
